NAMESPACE                      NAME                                                             READY   STATUS             RESTARTS        AGE    IP              NODE                 NOMINATED NODE   READINESS GATES
kube-flannel                   kube-flannel-ds-dvsbd                                            1/1     Running            3 (104d ago)    237d   10.48.219.140   zee8608workerapi03   <none>           <none>
kube-system                    coredns-55cb58b774-6hg5n                                         1/1     Running            1 (104d ago)    119d   192.168.4.248   zee8608workerapi03   <none>           <none>
kube-system                    coredns-55cb58b774-gb6cw                                         1/1     Running            1 (104d ago)    119d   192.168.4.252   zee8608workerapi03   <none>           <none>
kube-system                    kube-proxy-pxw75                                                 1/1     Running            2 (104d ago)    238d   10.48.219.140   zee8608workerapi03   <none>           <none>
kube-system                    metrics-server-b79d5c976-cjwkh                                   1/1     Running            0               104d   192.168.4.29    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      fluent-bit-b8w7w                                                 1/1     Running            0               101d   192.168.4.59    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      kube-auditing-webhook-deploy-5dc6f88977-p6xf2                    1/1     Running            0               101d   192.168.4.58    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      opensearch-cluster-data-1                                        1/1     Running            4 (101d ago)    101d   192.168.4.61    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      opensearch-cluster-master-2                                      1/1     Running            4 (101d ago)    101d   192.168.4.60    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      opensearch-logging-curator-opensearch-curator-29321340-zhh59     0/1     Completed          0               2d7h   192.168.4.81    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      opensearch-logging-curator-opensearch-curator-29322780-kfsq2     0/1     Completed          0               31h    192.168.4.82    zee8608workerapi03   <none>           <none>
kubesphere-logging-system      opensearch-logging-curator-opensearch-curator-29324220-s65g8     0/1     Completed          0               7h8m   192.168.4.83    zee8608workerapi03   <none>           <none>
kubesphere-monitoring-system   node-exporter-2n9vd                                              2/2     Running            4 (104d ago)    235d   10.48.219.140   zee8608workerapi03   <none>           <none>
longhorn-system                engine-image-ei-c2d50bcc-vjphp                                   1/1     Running            2 (104d ago)    237d   192.168.4.250   zee8608workerapi03   <none>           <none>
longhorn-system                instance-manager-07ccad272ad0241589616ab358b3c6c2                1/1     Running            0               104d   192.168.4.3     zee8608workerapi03   <none>           <none>
longhorn-system                longhorn-csi-plugin-shphp                                        3/3     Running            11 (104d ago)   236d   192.168.4.253   zee8608workerapi03   <none>           <none>
longhorn-system                longhorn-manager-d8z27                                           2/2     Running            4 (104d ago)    237d   192.168.4.2     zee8608workerapi03   <none>           <none>
